标题,地址,户型,面积,朝向,装修情况,层数,建造时间,楼型,总价,每平米单价,关注人数,带看次数,发布时间,标签,详情链接,房源标签,核心卖点,小区介绍,周边配套,交通出行,税费解析,权属抵押,上次交易,挂牌时间,交易权属,房屋用途,房屋年限,产权所属,抵押信息,交易属性,户型分间,解析状态
龙华四号线长湖站 万科启城高层三房业主诚售,"万科启城 , 观澜",3室1厅,80.98平米,南,精装,中楼层(共48层),2023年,板塔结合,364 万,44950 元,2,,,近地铁 | VR房源,https://sz.lianjia.com/ershoufang/105121785487.html,地铁 | VR房源,满五唯一，高层三房，业主急卖，看房方便,,,"交通方便，出门800米就到地铁站长湖站，门口就是公交站，E36，M545,450,8分可以上梅观高速",,,暂无数据,2025-08-14,商品房,普通住宅,暂无数据,非共有,有抵押 100万元 . 业主自还,挂牌时间:2025-08-14 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 100万元 . 业主自还 | 房本备件:未上传房本照片,客厅 / 19.07平米 / 西 / 落地窗 ; 卧室A / 5.7平米 / 西 / 落地窗 ; 卧室B / 10.23平米 / 无 / 未知窗户类型 ; 卧室C / 5.92平米 / 无 / 未知窗户类型 ; 厨房 / 3.93平米 / 南 / 普通窗 ; 卫生间A / 3.38平米 / 东 / 落地窗 ; 卫B / 2.21平米 / 东 / 落地窗 ; 阳台 / 6.36平米 / 西 / 落地窗 ; 过道 / 4.88平米 / 无 / 无窗,
地铁口，70年产权皆宜通风好采光好,"华盛峰荟名庭 , 观澜",4室2厅,89平米,南 北,,高楼层(共32层),2016年,板塔结合,438 万,49214 元,0,,,近地铁 | VR房源,https://sz.lianjia.com/ershoufang/105116711971.html,地铁 | VR房源,精装4房2卫，高楼层，产权清晰，自住保养好！,深圳市华盛智地房地产开发有限公司。物业公司：深圳市金洪物业管理服务有限公司，小区24小时安保巡逻。小区内部配套：儿童游乐场，健身活动区，小区园林，商场等。,小区楼下观荟里墒业街，为盛抄市。医院：龙华中芯医院，深圳伟光医院，广东医学院附属观澜医院；其他：观澜人民公园，狮经公园，九龙山，观澜河。,,,,暂无数据,2024-04-17,商品房,普通住宅,暂无数据,非共有,有抵押,挂牌时间:2024-04-17 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 | 房本备件:未上传房本照片,客厅 / 24.04平米 / 南 / 普通窗 ; 卧室A / 6.43平米 / 西 / 普通窗 ; 卧室B / 5.97平米 / 无 / 未知窗户类型 ; 卧室C / 13.31平米 / 无 / 未知窗户类型 ; 卧室D / 9.91平米 / 无 / 未知窗户类型 ; 厨房 / 3.93平米 / 西 / 普通窗 ; 卫生间A / 4.13平米 / 北 / 普通窗 ; 卫生间B / 4.5平米 / 西 / 落地窗 ; 阳台 / 4.7平米 / 西 南 / 普通窗 ; 过道 / 3.19平米 / 无 / 无窗,
房子户型方正 采光通风良好 视野开阔 高楼层,"观澜湖赛维纳 , 观澜",1室1厅,58.65平米,西南,精装,高楼层(共9层),2003年,板楼,201 万,34272 元,1,,,VR房源,https://sz.lianjia.com/ershoufang/105117351794.html,VR房源,观澜湖精装修住宅 一线高尔夫景观 满五唯一 保养好 采光充足,观澜湖已经形成国际高尔夫别墅住区，把背景相同、事业有成的人士聚集在一起，创造出生活与事业的平台。在10多平方公里的绿色王国上，建筑覆盖率不到1%，属于纯粹的高尔夫球场中/央物业，完全被球道环/绕，从住宅的任何一个角度，都可以观赏到绿色的景观,小区南门50亿观澜湖新城，观澜湖生态体育公园，观澜天虹商场，兴万达商场等，龙华人民医/院，塘厦人民医/院，小区内有会所/游泳池/健身房/高尔夫业主练习场/穿梭巴士等免费使用,园区内有免费巴士接，多条公交直达，高尔夫大道，观光路，观澜大道，观平路等城市主干道环-绕，梅观高速观澜出口2公里，地铁4号线（观澜湖新城站）已开通，观澜湖免费班车随时出行！,,,暂无数据,2024-06-20,商品房,普通住宅,暂无数据,非共有,有抵押 业主自还,挂牌时间:2024-06-20 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 业主自还 | 房本备件:未上传房本照片,卧室 / 34.35平米 / 西 / 普通窗 ; 卫生间 / 3.97平米 / 东 / 普通窗 ; 阳台 / 5.14平米 / 西 北 南 / 普通窗,
观湖园 6室1厅 东南,"观湖园 , 观澜",6室1厅,241平米,东南,,3层,2012年,板楼,1680 万,69710 元,0,,15天以前发布,VR房源,https://sz.lianjia.com/ershoufang/105122216074.html,VR房源,,,,,,,暂无数据,2025-09-22,商品房,普通住宅,暂无数据,非共有,有抵押,挂牌时间:2025-09-22 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 | 房本备件:未上传房本照片,客厅 / 59.06平米 / 西北 东北 / 普通窗 ; 卧室A / 12.45平米 / 无 / 普通窗 ; 卧室B / 16.62平米 / 无 / 落地飘窗 ; 卧室C / 15.11平米 / 无 / 未知窗户类型 ; 卧室D / 13.14平米 / 无 / 落地飘窗 ; 卧室E / 17.49平米 / 东南 / 落地飘窗 ; 卧室F / 21.24平米 / 西北 / 普通窗 ; 厨房 / 8.35平米 / 无 / 普通窗 ; 卫A / 2.92平米 / 无 / 无窗 ; 卫生间B / 4.67平米 / 无 / 普通窗 ; 卫生间C / 5.07平米 / 无 / 普通窗 ; 卫生间D / 4.27平米 / 东南 / 普通窗 ; 卫生间E / 7.67平米 / 东北 / 普通窗 ; 阳台A / 9.95平米 / 西南 西北 东北 / 普通窗 ; 阳台B / 4.67平米 / 西南 西北 东北 / 普通窗 ; 露台 / 64.54平米 / 无 / 普通窗 ; 花园 / 36.56平米 / 无 / 普通窗 ; 储物间 / 7.1平米 / 东南 / 普通窗 ; 地下室 / 38.28平米 / 无 / 普通窗 ; 楼梯间 / 8.47平米 / 无 / 无窗 ; 过道A / 17.02平米 / 无 / 无窗 ; 过道B / 10.9平米 / 无 / 无窗 ; 衣帽间 / 9.9平米 / 西北 / 普通窗,
联排别墅，安静位置，随时可看，端头位置。,"金地鹭湖1号 , 观澜",3室1厅,193.65平米,南,毛坯,3层,,板塔结合,1580 万,81591 元,0,,16天以前发布,VR房源 | 随时看房,https://sz.lianjia.com/ershoufang/105122210662.html,VR房源 | 随时看房,联排别墅，安静位置，随时可看，端头位置。,金地鹭湖1号，位于龙华区观澜街道梅观高速与环观南路交汇处。 鹭湖国际住区项目，主打户型产品：建面89平3房2卫。还有少量137平4房2卫，及190平复式。 项目占地面积约91197.68平方米，总建筑面积约164150平方米。,,有轨电车站台，高新园西站（电车接驳地铁4号线清湖地铁口），公交线路：公交（观澜高新园站）M567、M264、313、E4路等，高速公路：机荷高速公路、梅观高速公路，交通方便。,,,暂无数据,2025-09-22,商品房,别墅,暂无数据,非共有,有抵押 1000万元 徽商银行 金融公司垫资,挂牌时间:2025-09-22 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:别墅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 1000万元 徽商银行 金融公司垫资 | 房本备件:未上传房本照片,,
招商观园 5室2厅 东南,"招商观园 , 观澜",5室2厅,252.39平米,东南,毛坯,4层,2012年,塔楼,1200 万,47546 元,0,,,VR房源,https://sz.lianjia.com/ershoufang/105121854590.html,VR房源,,,,,,,2013-06-25,2025-08-20,商品房,普通住宅,未满两年,非共有,无抵押,挂牌时间:2025-08-20 | 交易权属:商品房 | 上次交易:2013-06-25 | 房屋用途:普通住宅 | 房屋年限:未满两年 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:已上传房本照片,,
楼层视野佳，经典户型，唯一业主自住，品质精装,"金地鹭湖1号 , 观澜",3室2厅,87.54平米,西南,精装,中楼层(共16层),2016年,塔楼,388 万,44323 元,37,,,VR房源,https://sz.lianjia.com/ershoufang/105116458412.html,VR房源,此房户型方正，住家装修品质好，中高楼层视野好。,鹭湖1号总共分两期，共11栋。位于龙华区观澜街道梅观高速与环观南路交汇处;鹭湖国际住区项目主打户型产品：建面89㎡三房。还有少量137平和190平复式。 项目占地面积约91197.68平方米，总建筑面积约164150平方米. 小区环境优美，依山傍水，空气质量好.,,多维立体城市干道:环观南路直通平湖，梅观高速直达福田，北通东莞，沈海高速连接深圳前海以及东部坪山以及惠州，潮汕。 龙华有轨电车无缝接驳地铁4号线清湖站。,,,暂无数据,2024-03-23,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2024-03-23 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 30.92平米 / 西南 / 落地窗 ; 卧室A / 13.9平米 / 无 / 未知窗户类型 ; 卧室B / 7.88平米 / 西南 / 落地窗 ; 卧室C / 7.42平米 / 西北 / 落地窗 ; 厨房 / 4.54平米 / 西北 / 普通窗 ; 卫生间A / 3.56平米 / 西北 / 普通窗 ; 卫生间B / 3.3平米 / 东北 / 普通窗 ; 过道 / 4.33平米 / 无 / 无窗,
中间楼层，安静位置，拎包入住，东南向，看小区全景。,"金地鹭湖1号 , 观澜",3室1厅,87.54平米,东南,精装,中楼层(共16层),2016年,塔楼,400 万,45694 元,1,,,VR房源,https://sz.lianjia.com/ershoufang/105119807290.html,VR房源,住家装修，看小区全景无遮挡，安静位置，拎包入住，随时可看。,金地鹭湖1号，位于龙华区观澜街道梅观高速与环观南路交汇处。 鹭湖国际住区项目，主打户型产品：建面89平3房2卫。还有少量137平4房2卫，及190平复式。 项目占地面积约91197.68平方米，总建筑面积约164150平方米。,,轨道交通：有轨电车站台，高新园西站（电车接驳地铁4号线清湖地铁口），公交线路：公交（观澜高新园站）M567、M264、313、E4路等，高速公路：机荷高速公路、梅观高速公路，交通方便。,,,暂无数据,2025-02-23,商品房,普通住宅,暂无数据,非共有,有抵押 250万元,挂牌时间:2025-02-23 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 250万元 | 房本备件:未上传房本照片,客厅 / 25.58平米 / 东北 / 落地窗 ; 卧室A / 12.79平米 / 无 / 未知窗户类型 ; 卧室B / 10.72平米 / 东北 / 落地窗 ; 卧室C / 7.91平米 / 无 / 未知窗户类型 ; 厨房 / 4.21平米 / 东南 / 普通窗 ; 卫A / 1.88平米 / 东南 / 普通窗 ; 卫生间B / 4平米 / 西南 / 普通窗 ; 阳台 / 3.96平米 / 东北 / 落地窗 ; 储物间 / 2.14平米 / 无 / 无窗 ; 过道 / 3.01平米 / 无 / 无窗,
观澜湖全新 装修 现代简约风格，1000平大花园,"观澜湖 , 观澜",6室2厅,260平米,南,精装,低楼层(共2层),,,4300 万,165385 元,5,,,VR房源,https://sz.lianjia.com/ershoufang/105119372782.html,VR房源,1000平大花园，新装修，可直接拎包入住,观澜湖在全深圳乃至全世界都很有名气，小区别墅座落在高尔夫球场与山水之间，环境很优美，空气也清新,,,,,暂无数据,2025-01-01,商品房,别墅,暂无数据,非共有,无抵押,挂牌时间:2025-01-01 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:别墅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 65.6平米 / 西 东 南 / 落地窗 ; 餐厅 / 20.32平米 / 南 / 普通窗 ; 卧室A / 12.54平米 / 西 / 普通窗 ; 卧室B / 14.2平米 / 西 北 / 落地窗 ; 卧室C / 4.94平米 / 东 / 普通窗 ; 卧室D / 13.7平米 / 西 北 / 普通窗 ; 卧室E / 21.92平米 / 东 南 / 普通窗 ; 厨房 / 13平米 / 北 南 / 普通窗 ; 卫A / 3.32平米 / 西 / 普通窗 ; 卫生间B / 5.35平米 / 东 / 普通窗 ; 卫C / 1.73平米 / 东 / 普通窗 ; 卫生间D / 5.28平米 / 无 / 无窗 ; 卫生间E / 4.3平米 / 西 / 普通窗 ; 卫生间F / 10.29平米 / 西 北 / 普通窗 ; 阳台A / 30.31平米 / 西 北 东 南 / 普通窗 ; 阳台B / 2.36平米 / 西 东 南 / 普通窗 ; 过道A / 7.79平米 / 东 / 普通窗 ; 过道B / 22.27平米 / 无 / 无窗 ; 衣帽间 / 5.57平米 / 东 / 普通窗,
美佳华首誉高层87平业主诚意卖,"美佳华首誉 , 观澜",3室1厅,87.05平米,东南,精装,高楼层(共31层),2013年,板塔结合,563 万,64676 元,0,,,近地铁 | VR房源,https://sz.lianjia.com/ershoufang/105117113834.html,地铁 | VR房源,大3房户型方正，装修很好，配套成熟，小区环境优美,美佳华首誉是集住宅、商务公寓一体的城市综合体。梅观快速、清平高速等，地铁4号线茜坑站200米左右 与深圳首条轻轨线交汇观澜站,地铁4号线茜坑站200米左右 与深圳首条轻轨线交汇观澜站小区为观澜首创的一站式的集中体，包括：购物、餐饮、休闲、娱乐等多种业态小区出门合正一二三期 未来有品牌商家进驻，已确定品牌主力店人人乐、KFC、美佳华儿童乐园等品牌，未来会有影院、餐饮、娱乐..,地铁4号线上盖茜坑站出口200米左右，目前公交线路有10余路，出行方便,,,暂无数据,2024-05-27,商品房,普通住宅,暂无数据,非共有,有抵押 300万元 民生银行 业主自还,挂牌时间:2024-05-27 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 300万元 民生银行 业主自还 | 房本备件:未上传房本照片,客厅 / 31.29平米 / 南 / 普通窗 ; 卧室A / 8.92平米 / 无 / 未知窗户类型 ; 卧室B / 7.71平米 / 西 / 普通窗 ; 卧室C / 11.12平米 / 无 / 未知窗户类型 ; 厨房 / 4.22平米 / 西 / 落地窗 ; 卫生间 / 3.26平米 / 无 / 落地窗 ; 阳台A / 1.89平米 / 西 / 落地窗 ; 阳台B / 8.62平米 / 南 / 普通窗,
地体口旁，通风好， 采光好，70年产权,"华盛峰荟名庭 , 观澜",4室2厅,77平米,东南,简装,低楼层(共27层),2016年,板塔结合,280 万,36364 元,2,,,近地铁 | VR房源 | 随时看房,https://sz.lianjia.com/ershoufang/105119506922.html,地铁 | VR房源 | 随时看房,房子南向，采光通风佳，业主诚心卖,深圳市华盛智地房地产开发有限公司。物业公司：深圳市金洪物业管理服务有限公司，小区24小时安保巡逻。小区内部配套：儿童游乐场，健身活动区，小区园林，商场等。,商场：天虹商场，为盛商场，农贸市场：龙华区医院 深圳市龙华新区慢性病防治.观澜医院竹村社区健康服务邮局：中国邮政 中国邮政 观澜邮政局银行：中国建设银行ATM 深圳市农村商.业银行ATM 中国农业银行ATM其他：格兰云天国际大酒店,地铁：4号线长湖站，公交;，福民影剧院;M337路M464路， 1经泗黎路与观光路，3个红绿灯到达梅观高速，梅观高速快速到达福田区； 2．通过观澜大道转机荷高速，可快速到达龙岗，宝安机场.,,,暂无数据,2025-01-17,商品房,商务公寓,暂无数据,非共有,有抵押 业主自还,挂牌时间:2025-01-17 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:商务公寓 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 业主自还 | 房本备件:未上传房本照片,客厅 / 19.4平米 / 北 东 / 落地窗 ; 卧室A / 7.08平米 / 北 / 落地窗 ; 卧室B / 7.58平米 / 北 / 落地窗 ; 卧室C / 8.44平米 / 北 / 落地窗 ; 卧室D / 14.67平米 / 东 / 落地窗 ; 厨房 / 4.05平米 / 东 / 普通窗 ; 卫生间A / 3.78平米 / 无 / 无窗 ; 卫生间B / 4.26平米 / 无 / 无窗 ; 阳台 / 3.23平米 / 东 / 落地窗 ; 过道 / 4.42平米 / 无 / 无窗 ; 过道B / 6.76平米 / 无 / 无窗,
东南朝向，视野开阔，通风采光好。,"珑门 , 观澜",3室1厅,81.55平米,南,精装,低楼层(共31层),2016年,板塔结合,298 万,36542 元,0,,,VR看装修 | 随时看房,https://sz.lianjia.com/ershoufang/105121354933.html,VR看装修 | 随时看房,东南朝向，视野开阔，通风采光好。,小区位于龙华区福前路和新丹路交汇处，2016年1月1日竣工，占地面积47000平方米，建筑面积249000平方米，共1600户。开发商：深圳市鹏城置业有限公司，物业公司 ：深圳市凯鸿物业管理有限公司 。车位比：1.1.1，物业管理费3.8元每平方。,小区内有绿化好，有儿童游乐场，有康乐健身设施。旁边是九龙山体育公园，内有游泳馆、篮球场、羽毛球场等。楼下有钱大妈、肯德鸡、有中国银行，生活配套完善。,,,,暂无数据,2025-07-06,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2025-07-06 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 22.04平米 / 西南 东南 / 普通窗 ; 卧室A / 5.76平米 / 北 / 落地窗 ; 卧室B / 12.14平米 / 无 / 未知窗户类型 ; 卧室C / 8.4平米 / 无 / 未知窗户类型 ; 厨房 / 5.65平米 / 北 / 落地窗 ; 卫生间A / 2.91平米 / 西北 / 普通窗 ; 卫生间B / 3.73平米 / 无 / 未知窗户类型 ; 阳台 / 2.62平米 / 西南 东北 东南 / 普通窗 ; 过道 / 2.83平米 / 无 / 无窗,
纯别墅小区，7房2厅，看房方便,"观湖园 , 观澜",7室2厅,183.63平米,东南,精装,上叠(共4层),2012年,板楼,1036 万,56418 元,1,,,VR房源,https://sz.lianjia.com/ershoufang/105120645257.html,VR房源,此房满五不唯一，采光通透，视野好，房间布局好，均带阳台。,,,,,,暂无数据,2025-05-07,商品房,别墅,暂无数据,非共有,有抵押 银行,挂牌时间:2025-05-07 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:别墅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 银行 | 房本备件:未上传房本照片,,
水系联排，上下五层，全采光，带固定车位,"城建仁山智水花园二期 , 观澜",5室1厅,225.2平米,西南,毛坯,低楼层(共1层),2012年,板塔结合,2500 万,111013 元,0,,,VR房源,https://sz.lianjia.com/ershoufang/105115233309.html,VR房源,此房满五不唯一，红本在手，上下五层，使用率高；业主诚售,仁山智水由深圳市城市建设开发公司开发，小区占地近20平，总建筑面积为557584.63㎡，住宅282053.6㎡，商铺5860㎡，幼儿园3500.08㎡，建筑主体包括95栋住宅楼，其中有83栋低多层住宅及12高层，住宅共1445户，车位3158个,,公交线路：公交（观澜高新园站）M567、M264、313、E4路等，出小区约100有轨电车站台（电车接驳地铁4号线清湖地铁口），高速公路：机荷高速公路、梅观高速公路，交通方便,,,暂无数据,2023-11-03,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2023-11-03 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 70.66平米 / 西南 西北 东南 / 落地窗 ; 多功能间 / 88.27平米 / 无 / 落地窗 ; 卧室A / 10.18平米 / 东南 / 普通窗 ; 卧室B / 14.29平米 / 无 / 未知窗户类型 ; 卧室C / 11.81平米 / 无 / 落地窗 ; 卧室D / 24.25平米 / 西北 东南 / 落地窗 ; 厨房 / 6平米 / 东南 / 普通窗 ; 卫生间A / 5.6平米 / 无 / 无窗 ; 卫生间B / 5.5平米 / 无 / 无窗 ; 卫生间C / 6.14平米 / 无 / 普通窗 ; 卫生间D / 5.53平米 / 无 / 无窗 ; 卫生间E / 9.83平米 / 东南 / 普通窗 ; 阳台A / 26.61平米 / 无 / 无窗 ; 阳台B / 9.92平米 / 西南 西北 / 普通窗 ; 阳台C / 8.18平米 / 无 / 普通窗 ; 阳台D / 32.35平米 / 西南 西北 / 普通窗 ; 入户花园 / 43.23平米 / 西南 东北 东南 / 普通窗 ; 地下室 / 11.97平米 / 无 / 无窗 ; 过道A / 14.16平米 / 无 / 无窗 ; 过道B / 10.12平米 / 无 / 无窗 ; 衣帽间 / 6.6平米 / 无 / 无窗,
中间位，大阳台仁山水系联排，高实用面积，毛坯任装,"城建仁山智水花园一期 , 观澜",5室2厅,230.87平米,东北,毛坯,上叠(共1层),2013年,板楼,2230 万,96592 元,2,,,VR房源,https://sz.lianjia.com/ershoufang/105111869238.html,VR房源,水系联排，上下五层，满3年，业主诚意出售,仁山智水由深圳市城市建设开发公司开发，小区占地近20平，总建筑面积为557584.63㎡，住宅282053.6㎡，商铺5860㎡，幼儿园3500.08㎡，建筑主体包括95栋住宅楼，其中有83栋低多层住宅及8栋高层和4栋高层，住宅共1445户，车位3158个,医疗：龙华中 心医院（4600米百度地图测距），龙华综合医院（在建中300米百度地图测距），新科技园社区健康服务中 心。购物：宝 地利商场（楼下），佳又惠百货医院，天虹（2400米百度地图测距）,公交线路：公交（观澜高新园站）M567、M264、313、E4路等，出小区约100有轨电车站台（电车接驳地铁4号线清湖地铁口），高速公路：机荷高速公路、梅观高速公路，交通方便。,,,暂无数据,2022-10-26,商品房,别墅,暂无数据,非共有,有抵押 800万元 农业银行 金融公司垫资,挂牌时间:2022-10-26 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:别墅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 800万元 农业银行 金融公司垫资 | 房本备件:未上传房本照片,客厅 / 70.33平米 / 无 / 未知窗户类型 ; 多功能间 / 90.71平米 / 无 / 无窗 ; 卧室A / 9.82平米 / 西南 / 落地窗 ; 卧室B / 13.97平米 / 无 / 未知窗户类型 ; 卧室C / 11.22平米 / 西南 / 落地窗 ; 卧室D / 24.43平米 / 西南 东北 / 落地窗 ; 厨房 / 5.78平米 / 西南 / 普通窗 ; 卫生间A / 3.93平米 / 无 / 无窗 ; 卫生间B / 5.58平米 / 无 / 无窗 ; 卫生间C / 6.15平米 / 西南 / 普通窗 ; 卫生间D / 5.52平米 / 无 / 无窗 ; 卫生间E / 1.93平米 / 无 / 无窗 ; 阳台A / 9.48平米 / 无 / 无窗 ; 阳台B / 21.64平米 / 无 / 无窗 ; 阳台C / 15平米 / 西北 东北 东南 / 普通窗 ; 阳台D / 8.46平米 / 西南 / 普通窗 ; 露台 / 33.2平米 / 西北 东北 东南 / 普通窗 ; 储物间 / 6.92平米 / 无 / 无窗 ; 楼梯间 / 11.78平米 / 无 / 无窗 ; 过道A / 13.95平米 / 无 / 无窗 ; 过道B / 9.59平米 / 无 / 无窗 ; 过道C / 7.83平米 / 西南 / 普通窗,
安静户型，舒适楼层，优质好房，诚意出售。,"懿花园 , 观澜",3室2厅,89.42平米,北,精装,中楼层(共10层),2013年,板楼,380 万,42497 元,1,,,VR看装修,https://sz.lianjia.com/ershoufang/105107675224.html,VR看装修,此房满五，房子保养的好，业主诚心出售。,小区是和记黄埔开发，整体港式风格，小区绿化美丽，社区够大，居住舒适度五星。,医疗：龙华中 心医院（4600米百度地图测距），龙华综合医院（在建中3100米百度地图测距），新科技园社区健康服务中 心。购物：宝 地利商场（楼下），佳又惠百货医院，天虹（2400米百度地图测距）,,,,暂无数据,2021-06-19,商品房,普通住宅,暂无数据,非共有,有抵押 业主自还,挂牌时间:2021-06-19 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 业主自还 | 房本备件:未上传房本照片,客厅 / 22.57平米 / 西北 / 普通窗 ; 卧室A / 6.81平米 / 无 / 未知窗户类型 ; 卧室B / 7.44平米 / 无 / 未知窗户类型 ; 卧室C / 14.73平米 / 无 / 未知窗户类型 ; 厨房 / 5.42平米 / 东北 / 普通窗 ; 卫A / 3.58平米 / 无 / 普通窗 ; 卫B / 3.41平米 / 东南 / 普通窗 ; 阳台A / 5.96平米 / 西北 东北 / 普通窗 ; 阳台B / 3.9平米 / 东北 / 普通窗 ; 过道 / 3.21平米 / 无 / 无窗 ; 衣帽间 / 4.88平米 / 东南 / 落地窗,
观湖园边位带花园   装修总裁亲自设计布局  格局好,"观湖园 , 观澜",6室2厅,146.45平米,东南,精装,上叠(共4层),2012年,板楼,1100 万,75111 元,28,,,VR房源 | 房本满五年,https://sz.lianjia.com/ershoufang/105114945525.html,VR房源 | 房本满五年,精致装修，格局为上，满五年税少，户型方正适用,观湖园项目位于宝安区观澜镇，邻近梅观高速公路，为梅观高速观澜出口旁观澜库坑A932-0011、A932-0253宗地；项目占地375851.875平方米，总建筑面积165540平方米，容积仅为0.44，,将发展为大型低密度豪hua住宅区，并附设会所及商ye设施。 观湖园位于深圳市观龙华新区观澜街道，比邻世界zhui大高尔夫——观澜湖高尔夫球会。,,,,2015-09-28,2023-10-02,商品房,别墅,满五年,非共有,有抵押 600万元 人民银行 客户偿还,挂牌时间:2023-10-02 | 交易权属:商品房 | 上次交易:2015-09-28 | 房屋用途:别墅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:有抵押 600万元 人民银行 客户偿还 | 房本备件:已上传房本照片,客厅 / 60.1平米 / 无 / 未知窗户类型 ; 卧室A / 22.62平米 / 无 / 落地窗 ; 卧室B / 13.02平米 / 无 / 未知窗户类型 ; 卧室C / 12.4平米 / 无 / 未知窗户类型 ; 卧室D / 24.35平米 / 无 / 普通窗 ; 卧室E / 11.55平米 / 无 / 落地窗 ; 厨房 / 8.29平米 / 无 / 无窗 ; 卫生间A / 3.65平米 / 无 / 无窗 ; 卫生间B / 6.4平米 / 无 / 未知窗户类型 ; 卫生间C / 4.16平米 / 无 / 无窗 ; 卫生间D / 3.38平米 / 无 / 无窗 ; 阳台A / 4.79平米 / 无 / 普通窗 ; 阳台C / 50.04平米 / 无 / 落地窗 ; 储物间A / 3.84平米 / 无 / 无窗 ; 储物间B / 8.56平米 / 无 / 普通窗 ; 过道 / 10.17平米 / 无 / 落地窗 ; 门厅 / 7.83平米 / 无 / 落地窗 ; 过道A / 9.56平米 / 无 / 无窗 ; 过道B / 10.99平米 / 无 / 无窗 ; 衣帽间A / 3.67平米 / 无 / 无窗,
福安雅园 中高楼层视野开阔 看花园 安静 户型方正,"福安雅园 , 观澜",2室2厅,68.47平米,南,精装,高楼层(共33层),2015年,,232 万,33884 元,0,,,VR房源,https://sz.lianjia.com/ershoufang/105121460198.html,VR房源,"满五不唯一红本在手,高层通风采光好,近公园购物商场",全深圳的标杆安居房社区，大社区，小区物业管理好，配套齐全，很适合老人小孩居住,小区楼下就是大型购物综合体丰盛大地购物，钱大妈，百果园，等日常生活配套,,,,暂无数据,2025-07-16,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2025-07-16 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 21.08平米 / 无 / 无窗 ; 卧室A / 8.67平米 / 南 / 落地窗 ; 卧室B / 11.17平米 / 无 / 未知窗户类型 ; 卧室C / 4.6平米 / 南 / 落地窗 ; 厨房 / 4.17平米 / 无 / 落地窗 ; 卫生间 / 3.04平米 / 西 / 普通窗 ; 阳台A / 2.81平米 / 南 / 落地窗,
