标题,地址,户型,面积,朝向,装修情况,层数,建造时间,楼型,总价,每平米单价,关注人数,带看次数,发布时间,标签,详情链接,房源标签,核心卖点,小区介绍,周边配套,交通出行,税费解析,权属抵押,上次交易,挂牌时间,交易权属,房屋用途,房屋年限,产权所属,抵押信息,交易属性,户型分间,解析状态
万科第五园徽式住宅业主自住好房诚意出售,"万科第五园三期 , 坂田",4室2厅,117.28平米,东南,,高楼层(共23层),2008年,塔楼,658 万,56106 元,6,,,VR看装修,https://sz.lianjia.com/ershoufang/105116221594.html,VR看装修,此房满五唯一，坐北朝南的高层，采光充足，视野开阔，无遮挡,万科第五园三期为徽派建筑元素和晋派建筑元素风格，将传统与现代、中式与西式很好地嫁接和结合，在清砖的步行道行走，穿过密集的青竹林小路，清风拂面，令人心旷神怡；小区共三栋高层分九个单元，其余皆为叠院及别墅，密度较低，带泳池。万科物业管理好,小区近银湖山及正坑水库，周末散心好去处；生活方便，带有2个华润chao市（五期和一期）、万科里商场（九期），小区2公里范围内有湾畔mall商场、奥特莱斯8号仓、星河Cocopark、坂田天虹、佳华购物广场等，还有个手造文化街可闲暇时间去闲逛,距离地铁5号线坂田站步行距离1.3公里，地铁10号线光雅园站约700米，坂银通道已通车，去罗湖福田很方便。交通干线：布龙路、坂雪岗大道、五和大道、梅关高速、南坪快速、清平高速、水管高速、沈海高速等。距五园幼儿园公交站200米（此数据来源于百度地图）,,,暂无数据,2024-03-03,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2024-03-03 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 33.06平米 / 无 / 未知窗户类型 ; 卧室A / 6.42平米 / 东北 / 普通窗 ; 卧室B / 9.33平米 / 无 / 未知窗户类型 ; 卧室C / 8.66平米 / 无 / 未知窗户类型 ; 卧室D / 15.24平米 / 西南 / 普通窗 ; 厨房 / 5.2平米 / 西南 / 普通窗 ; 卫A / 2.93平米 / 东北 / 普通窗 ; 卫B / 4.68平米 / 东北 / 普通窗 ; 阳台 / 3.17平米 / 西南 / 普通窗 ; 入户花园 / 15平米 / 北 / 落地窗,
满五唯一 税少  南向看花园 视野开阔 看房方便,"信义嘉御山 , 坂田",3室2厅,117平米,南,精装,中楼层(共31层),2013年,板塔结合,750 万,64103 元,4,,,近地铁 | VR看装修,https://sz.lianjia.com/ershoufang/105116428453.html,地铁 | VR看装修,满五唯一 税少  南向看花园 视野开阔 看房方便,信义嘉御豪园分三期开发，共3008户。2013-2015年底交房，小区内有泳池，配套有公里龙岗机关幼儿园，户型多样，66平-77平，方正通透的两房；83-88平，朝南或南北的三房户型；85平 复式 四房三卫；117-217平 改善大户型。,,双地铁10号线、5号线，距离五和站800米、坂田北站300米（百度地图），1公里可以上珠三角环线高速,,,暂无数据,2024-03-21,商品房,普通住宅,暂无数据,非共有,有抵押 330万元,挂牌时间:2024-03-21 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 330万元 | 房本备件:未上传房本照片,客厅 / 35.13平米 / 无 / 未知窗户类型 ; 卧室A / 15.4平米 / 无 / 未知窗户类型 ; 卧室B / 11.62平米 / 无 / 未知窗户类型 ; 卧室C / 18.43平米 / 东南 / 普通窗 ; 厨房 / 7.83平米 / 东北 / 普通窗 ; 卫A / 4.95平米 / 无 / 未知窗户类型 ; 卫B / 3.66平米 / 东北 / 普通窗 ; 阳台 / 11.22平米 / 西南 东北 东南 / 普通窗 ; 入户花园 / 7.46平米 / 西南 / 普通窗 ; 过道 / 1.2平米 / 无 / 无窗,
大阳台，满五税费低，次新房，璞悦山4室,"璞悦山 , 坂田",4室2厅,175.46平米,南,精装,32层,2013年,板楼,950 万,54144 元,13,,,VR看装修 | 房本满五年,https://sz.lianjia.com/ershoufang/105115765504.html,VR看装修 | 房本满五年,万科精装修双套间大四房，视野开阔，满五唯一，高楼层景观好！,万科璞悦山，小区绿化，环境好，且小区后面有业主私家登山道，有钓鱼场，适合全家游玩，小区内有会所，有泳池，社区自带幼儿园，生活也很便利。现代中式建筑风格，树木林立郁郁葱葱，花草遍地，芬芳满园，适合生活居家。,"100米处是万科里购物，星巴克，钱大妈。300米处是万科第五园五期华润万家，百果园。手造文化街，星河CoCo Park,奥特莱斯，8号仓等！",小区出门就可上南坪快速，去南山宝安很方便，上坂银隧道去到罗湖福田。出行方便，看房方便！,,,2014-11-05,2024-01-03,商品房,普通住宅,满五年,非共有,有抵押 800万元,挂牌时间:2024-01-03 | 交易权属:商品房 | 上次交易:2014-11-05 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:有抵押 800万元 | 房本备件:已上传房本照片,客厅 / 42.84平米 / 南 / 落地窗 ; 卧室A / 11.14平米 / 南 / 落地窗 ; 卧室B / 12.88平米 / 南 / 落地窗 ; 卧室C / 20.28平米 / 南 / 落地窗 ; 卧室D / 10.68平米 / 北 / 落地窗 ; 厨房 / 6.78平米 / 北 / 普通窗 ; 卫A / 4.11平米 / 无 / 无窗 ; 卫B / 7.41平米 / 北 / 普通窗 ; 卫C / 4.89平米 / 北 / 落地窗 ; 阳台A / 7.68平米 / 西 东 南 / 落地窗 ; 阳台B / 2.31平米 / 北 / 落地窗 ; 过道 / 3.28平米 / 无 / 无窗 ; 衣帽间 / 3.06平米 / 无 / 无窗,
坂田地铁口三房两卫，次新房，满五年唯一，高楼层,"德润荣君府 , 坂田",3室2厅,87.37平米,南,,高楼层(共41层),2017年,板楼,610 万,69819 元,4,,,近地铁 | VR看装修,https://sz.lianjia.com/ershoufang/105112307637.html,地铁 | VR看装修,坂田地铁口标准三房，次新房，满五年唯一，高楼层,,楼下自带幼稚园、5000㎡底商。布龙路以北万科100000㎡商写综合体建设中，西侧在建华侨城住宅、幼儿园及和美外国语项目（30班1500位置）。距小区1000有两万㎡万科里。2000内有阳光湾畔、8号仓、坂田天虹、大族云峰等商场。,"四通八达,小区邻布龙路坂雪岗大道两大动脉,南面1km上坂银南坪,通达福田南山方便；东面两个灯位上清平水官,通达罗湖盐田惠州；西北侧2km上G94,1 h到宝安东莞广州；北达天安和华为。150米到5号线坂田地铁口,0.5km到5&10号线换乘站五和，10站到福田口岸。",,,暂无数据,2022-12-19,商品房,普通住宅,暂无数据,非共有,有抵押 200万元,挂牌时间:2022-12-19 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 200万元 | 房本备件:未上传房本照片,客厅 / 24.33平米 / 无 / 未知窗户类型 ; 卧室A / 8.61平米 / 无 / 未知窗户类型 ; 卧室B / 13.46平米 / 无 / 未知窗户类型 ; 卧室C / 8.14平米 / 无 / 未知窗户类型 ; 厨房 / 5.75平米 / 南 / 普通窗 ; 卫生间A / 4.89平米 / 无 / 未知窗户类型 ; 卫生间B / 4.68平米 / 无 / 未知窗户类型 ; 阳台 / 4.85平米 / 西 东 南 / 普通窗 ; 过道 / 2.86平米 / 无 / 无窗,
坂田地铁口低密度大社区，电梯中高楼层，满五年，诚售,"十二橡树庄园一期 , 坂田",3室2厅,72.13平米,南,,高楼层(共15层),2011年,板楼,367 万,50881 元,16,,,近地铁 | VR看装修 | 随时看房,https://sz.lianjia.com/ershoufang/105113957471.html,地铁 | VR看装修 | 随时看房,满五年，电梯房实用率高，小区低密度社区绿化好居住舒适,十二橡树是深圳唯一原石山别墅、深圳唯一电梯别墅、区域唯一台地别墅、230米礼宾大道、深圳唯一径端路设计、纯智能化小区 ，双拼、叠拼及小高层平面房，经典的北美庄园范本，是现代别墅生活新潮流。目前属于万科物业,此房小区所在位置安静，鸟语花香，交通方便，较近的一个大型商场海达和成购物广场在五和地铁站B出口处，距离小区约600米， 阳光湾畔，坂田天虹商场，八号仓商场等，较近的综合市场扬马菜市场距离小区约500米，小区北面300米有坂田医院。,小区北面50米是布龙路，东面300米是坂雪岗大道，南面200米是永香路，西面400米是五和大道，各大要道相互交汇四通八达。 小区还是双地铁坂田，五和环中线分布于小区东西两侧约步行500米。目前还有一条十号线平湖到福田口岸的地铁线。 即将开通的坂银通道,,,暂无数据,2023-06-11,商品房,普通住宅,暂无数据,非共有,有抵押 160万元,挂牌时间:2023-06-11 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 160万元 | 房本备件:未上传房本照片,客厅 / 16.83平米 / 北 东 / 普通窗 ; 卧室A / 7.55平米 / 无 / 未知窗户类型 ; 卧室B / 9.64平米 / 北 / 普通窗 ; 卧室C / 15.56平米 / 无 / 未知窗户类型 ; 厨房 / 6.08平米 / 北 / 落地窗 ; 卫生间 / 4.51平米 / 东 / 落地窗 ; 阳台A / 2.99平米 / 北 / 落地窗 ; 阳台B / 9.27平米 / 北 东 / 普通窗 ; 过道 / 12.33平米 / 无 / 无窗,
特殊户型有50平大露台朝南向诚心出售,"珠江旭景佳园 , 坂田",2室1厅,79.82平米,东南 南,,低楼层(共11层),2007年,塔楼,370 万,46355 元,8,,,近地铁 | VR房源,https://sz.lianjia.com/ershoufang/105114116103.html,地铁 | VR房源,业主诚心出售，看房方便。。。。。。。。。。。。。。。,小区分3期开发，近1500户，地铁口物业，紧靠银湖山和坂银隧道，地理位置优越，进出关内外方便。小区房价处于区域谷值，同区域二手房对比有很大的优势。所以有很多关内的客户在此小区置业。生活配套成熟，是刚需值得购买的小区。,二期内有旭景幼稚园。小区东南侧3千㎡底商，南侧有大族云峰商场已开业；距小区300米有两万㎡万科里。2km内有阳光湾畔、8号仓、坂田天虹等商场。1km有坂田医院。,"四通八达,小区邻布龙路坂雪岗大道两大动脉,南面1km上坂银南坪,通达福田南山方便；东面两个灯位上清平水官,通达罗湖盐田惠州；西侧2km上G94,1h到宝安东莞广州；北达天安和华为。250米到5号线坂田地铁口,1站换10号线到福田口岸。小区东门150m到公交站。",,,暂无数据,2023-06-30,商品房,普通住宅,暂无数据,非共有,有抵押 客户偿还,挂牌时间:2023-06-30 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 客户偿还 | 房本备件:未上传房本照片,客厅 / 11.95平米 / 南 / 落地窗 ; 餐厅 / 12.81平米 / 无 / 无窗 ; 卧室A / 9.65平米 / 无 / 未知窗户类型 ; 卧室B / 13.51平米 / 西 南 / 落地窗 ; 厨房 / 4.27平米 / 无 / 无窗 ; 卫生间 / 3.63平米 / 西 / 普通窗 ; 阳台A / 2.58平米 / 无 / 无窗 ; 阳台B / 7.73平米 / 南 / 落地窗 ; 过道 / 2.25平米 / 无 / 无窗,
房子阳台朝北通透户型 采光通风好 视野开阔实用率高,"和成嘉业 , 坂田",5室2厅,140.61平米,南 北,精装,低楼层(共32层),2021年,,830 万,59029 元,0,,,近地铁 | VR看装修,https://sz.lianjia.com/ershoufang/105117703444.html,地铁 | VR看装修,房子阳台朝北通透户型 采光通风好 视野开阔实用率高,"小区由金合成开发和管理,于2016年批地,2019年入伙,共有800多户,两层车库,车位不紧张,车位1：1，主力户型为80-89-91-118-140平,3-5房都是带装修交楼,采光好,围合式建筑风格,人车分流,小区地势高,通风好。",小区自带乒乓球室、棋牌室及锻炼器材广场。门口有华润万家，钱大妈，龙华大润发沃尔玛往返车等满足业主的日常需求。步行700米可至杨美美食街，鑫华盛百货，美家福百货等。距离深圳坂田医院2500米。3公里内有坂田天虹，佳华领汇广场，8号仓，星河。,（参靠高德地图）地铁5号线杨美站C出口792米，西至前海湾东至黄贝岭。东南门M572路可直达终点深圳北站或步行792米至杨美地铁公交站有多条公交路线可达深圳各区域。可直上布龙路、清平、南坪、水官，坂银隧道已建成通车，实现10公里至福田皇岗立交。,,,暂无数据,2024-07-23,商品房,普通住宅,暂无数据,非共有,有抵押 0万元 工商银行 客户偿还,挂牌时间:2024-07-23 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 0万元 工商银行 客户偿还 | 房本备件:未上传房本照片,客厅 / 27.43平米 / 北 南 / 普通窗 ; 卧室A / 9.42平米 / 无 / 未知窗户类型 ; 卧室B / 8.52平米 / 北 / 普通窗 ; 卧室C / 13.88平米 / 无 / 未知窗户类型 ; 卧室D / 10.54平米 / 无 / 未知窗户类型 ; 卧室E / 10.55平米 / 无 / 未知窗户类型 ; 厨房 / 6.06平米 / 南 / 普通窗 ; 卫A / 3.77平米 / 无 / 未知窗户类型 ; 卫B / 4.26平米 / 北 / 普通窗 ; 阳台A / 6.8平米 / 西 北 / 普通窗 ; 阳台B / 3.26平米 / 西 南 / 普通窗 ; 过道 / 7.87平米 / 无 / 无窗 ; 衣帽间 / 3.86平米 / 无 / 无窗,
南北向位置安静三房两卫 满五唯一 红本,"万科第五园五期 , 坂田",3室1厅,127.08平米,南,精装,低楼层(共14层),2009年,板楼,616 万,48474 元,3,,,VR看装修 | 随时看房,https://sz.lianjia.com/ershoufang/105117952526.html,VR看装修 | 随时看房,此房满5年唯一 户型方正朝花园 朝南 精装修 户型方正,五期与六八期打通，园林，休闲配套，消费等都是共享，地势高，楼下有小，学，不用过马路，五期带游泳池，网球场，和儿童游乐场等，八期有很多草坪，可养宠物等，南面是银湖山效野公园，和南坑公园等,,200米有万科第五园公交总站，去华为、民治、会展市内、科技园的车都有。小区位于坂雪岗大道300米，400米上南坪快速，马路四通八达交通便利，到福田很便捷，今年6月份坂银隧道开通，连接坂田首站，到福田华强北，罗湖都很方便，深圳北站几个地铁站就到了,,,暂无数据,2024-08-14,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2024-08-14 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 28.11平米 / 无 / 未知窗户类型 ; 卧室A / 19.86平米 / 无 / 未知窗户类型 ; 卧室B / 11.81平米 / 无 / 未知窗户类型 ; 卧室C / 10.18平米 / 东南 / 落地窗 ; 厨房 / 5.33平米 / 西南 / 普通窗 ; 卫A / 5.17平米 / 东北 / 普通窗 ; 卫B / 3.93平米 / 西南 / 普通窗 ; 阳台A / 5.98平米 / 东 / 落地窗 ; 阳台B / 1.9平米 / 西南 / 普通窗 ; 过道 / 3.98平米 / 无 / 无窗,
电梯叠院，坐北朝南，拓展的面积多,"十二橡树庄园二期 , 坂田",5室2厅,178.3平米,南,精装,高楼层(共5层),2012年,,1380 万,77398 元,3,,,近地铁 | VR房源,https://sz.lianjia.com/ershoufang/105115536505.html,地铁 | VR房源,房子是电梯叠院，坐北朝南，拓展的面积多,十二橡树是深圳唯一原石山别墅、深圳唯一电梯别墅、区域唯一台地别墅、230米礼宾大道、深圳唯一径端路设计、纯智能化小区”，双拼、TH、叠拼及小高层平面房，经典的北美庄园范本，是现代别墅生活新潮流,此房小区所在位置配套好，交通方便，较近的一个大型海达和成购物广场在五和地铁站B出口处，距离小区约600米，较近的综合市场距离小区约500米。小区北面300米有坂田医院,小区北面是布龙路，东面300米是坂雪岗大道，南面200米是永香路，西面400米是五和大道，各大要道相互交汇四通八达。小区还是双地铁口物业，地铁环中线的坂田站与五和站分布于小区东西两侧约步行500米。,,,暂无数据,2023-12-06,商品房,普通住宅,暂无数据,非共有,有抵押 910万元 客户偿还,挂牌时间:2023-12-06 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 910万元 客户偿还 | 房本备件:未上传房本照片,客厅 / 62.42平米 / 南 / 落地窗 ; 餐厅 / 9.41平米 / 北 / 普通窗 ; 书房A / 8.27平米 / 无 / 无窗 ; 卧室A / 8.77平米 / 北 / 普通窗 ; 书房B / 20.95平米 / 北 / 普通窗 ; 卧室B / 14.82平米 / 北 / 普通窗 ; 卧室C / 9.58平米 / 北 / 普通窗 ; 卧室D / 10.43平米 / 南 / 普通窗 ; 卧室E / 11.22平米 / 北 / 普通窗 ; 卧室F / 23.87平米 / 南 / 普通窗 ; 厨房 / 6.86平米 / 西 / 普通窗 ; 卫生间A / 3.9平米 / 西 / 普通窗 ; 卫生间B / 3.07平米 / 西 / 普通窗 ; 卫生间C / 3.77平米 / 西 / 普通窗 ; 卫生间D / 10.41平米 / 西 / 普通窗 ; 阳台 / 5.75平米 / 东 南 / 普通窗 ; 露台 / 39.73平米 / 西 北 东 南 / 普通窗 ; 门厅 / 5.4平米 / 南 / 落地窗 ; 过道A / 27.28平米 / 南 / 普通窗 ; 过道B / 7.63平米 / 无 / 无窗 ; 过道C / 8.11平米 / 无 / 无窗 ; 衣帽间 / 19.75平米 / 南 / 普通窗,
配套齐全 近地铁口 次新房 满五年税费少 诚心出售,"和成嘉业 , 坂田",3室2厅,90.61平米,东南,精装,低楼层(共30层),2020年,,500 万,55182 元,3,,,近地铁 | VR看装修,https://sz.lianjia.com/ershoufang/105118269104.html,地铁 | VR看装修,朝南视野开阔 满五年位置安静看花园 业主诚心卖,"小区由金和成开发和管理,于2016年批地,2020年入伙,共有800多户,两层车库,车位不紧张,车位1：1，主力户型为82-89-91-118-140平,3-5房都是带装修交楼,采光好,围合式建筑风格,人车分流,小区地势高,通风好,",小区自带乒乓球室、棋牌室及锻炼器材广场。门口有华润万家，钱大妈，龙华大润发沃尔玛往返车等满足业主的日常需求。步行700米可至杨美美食街，鑫华盛百货，美家福百货等。距离深圳坂田医院2500米。3公里内有坂田天虹，佳华领汇广场，8号仓，星河。,（参靠高德地图）地铁5号线杨美站C出口792米，西至前海湾东至黄贝岭。东南门M572路可直达终点深圳北站或步行792米至杨美地铁公交站有多条公交路线可达深圳各区域。可直上布龙路、清平、南坪、水官，坂银隧道已建成通车，实现10公里至福田皇岗立交。,,,暂无数据,2024-09-12,商品房,普通住宅,暂无数据,非共有,有抵押 200万元 农业银行,挂牌时间:2024-09-12 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 200万元 农业银行 | 房本备件:未上传房本照片,客厅 / 20.98平米 / 北 / 普通窗 ; 卧室01 / 9.16平米 / 无 / 未知窗户类型 ; 卧室02 / 13.07平米 / 无 / 未知窗户类型 ; 卧室03 / 6.03平米 / 北 / 普通窗 ; 厨房 / 6.02平米 / 北 / 普通窗 ; 卫01 / 4.08平米 / 无 / 无窗 ; 卫02 / 2.91平米 / 北 / 普通窗 ; 阳台 / 4.58平米 / 北 / 普通窗 ; 过道 / 2.79平米 / 无 / 无窗,
德润荣君府5房3卫大平层，毛坯房,"德润荣君府 , 坂田",5室2厅,235.96平米,南,毛坯,低楼层(共28层),2017年,板楼,1490 万,63147 元,0,,,近地铁 | VR房源,https://sz.lianjia.com/ershoufang/105121042978.html,地铁 | VR房源,5号线坂田正地铁口，次新小区大平层两梯两户，户型方正实用率高,2017年底交房的次新小区，全电梯高层，共7栋，由住宅和公寓（1栋）组成，合围起来楼下有花园和泳池，可供休憩玩耍。自带上千平商ye配套，日常基本生活需求能得到满足，地下3层停车库，1：1配置，再也不用担心停车的问题了。,楼下自带幼稚园、5千㎡底商。布龙路以北万科十几万㎡商写综合体建设中，西侧在建华侨城住宅、幼儿园及和美外国语项目（30班1500位置）。距小区1km有两万㎡万科里。2km内有阳光湾畔、8号仓、坂田天虹等商场。北为坂田医院,5号线坂田地铁口和10号线五和站大约700米，去宝安或者罗湖都很方便。 小区门口就是公交站； 小区前面是坂雪岗大道和布龙路，自驾的话，1千米内可以上南坪快速，再走水官高速到龙岗，梅观高速到观澜和东莞，或者经梅林关，新彩隧道进福田，罗湖和南山都方便,,,暂无数据,2025-06-11,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2025-06-11 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 58.04平米 / 无 / 未知窗户类型 ; 卧室A / 12.82平米 / 无 / 未知窗户类型 ; 卧室B / 10.16平米 / 无 / 未知窗户类型 ; 卧室C / 26.55平米 / 无 / 未知窗户类型 ; 卧室D / 16.66平米 / 无 / 未知窗户类型 ; 卧室E / 14.81平米 / 北 / 落地窗 ; 厨房 / 10.14平米 / 北 / 落地窗 ; 卫A / 8.58平米 / 无 / 未知窗户类型 ; 卫B / 6.82平米 / 无 / 未知窗户类型 ; 卫C / 3.75平米 / 无 / 无窗 ; 阳台A / 5.16平米 / 北 / 普通窗 ; 阳台B / 7.51平米 / 北 / 落地窗 ; 阳台C / 12.51平米 / 北 / 普通窗 ; 过道 / 7.08平米 / 无 / 无窗 ; 门厅 / 8.18平米 / 无 / 无窗,
坂田次新小区三房，满五唯一税费少，诚心出售,"和成嘉业 , 坂田",3室2厅,90.87平米,北,,高楼层(共31层),2020年,,495 万,54474 元,3,,,近地铁 | VR房源,https://sz.lianjia.com/ershoufang/105121325104.html,地铁 | VR房源,坂田次新小区三房，满五唯一税费少，诚心出售,"小区由金和成开发和管理,于2016年批地,2019年入伙,共有800多户,两层车库,车位不紧张,车位1：1，主力户型为80-89-91-118-140平,3-5房都是带装修交楼,采光好,围合式建筑风格,人车分流,小区地势高,通风好。","小区由金和成开发和管理,于2016年批地,2019年入伙,共有800多户,两层车库,车位不紧张,车位1：1，主力户型为80-89-91-118-140平,3-5房都是带装修交楼,采光好,围合式建筑风格,人车分流,小区地势高,通风好。",地铁5号线杨美站C出口792米，西至前海湾东至黄贝岭。东南门M572路可直达终点深圳北站或步行792米至杨美地铁公交站有多条公交路线可达深圳各区域。可直上布龙路、清平、南坪、水官，坂银隧道已建成通车，实现10公里至福田皇岗立交。,,,暂无数据,2025-07-04,商品房,普通住宅,暂无数据,非共有,有抵押,挂牌时间:2025-07-04 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 | 房本备件:未上传房本照片,客厅 / 19.7平米 / 北 / 落地窗 ; 卧室A / 7.11平米 / 西 / 普通窗 ; 卧室B / 13.27平米 / 无 / 未知窗户类型 ; 卧室C / 9.68平米 / 无 / 未知窗户类型 ; 厨房 / 6.32平米 / 西 / 普通窗 ; 卫A / 3.82平米 / 南 / 普通窗 ; 卫B / 3.16平米 / 西 / 普通窗 ; 阳台 / 4.42平米 / 西 北 东 / 落地窗 ; 过道 / 2.87平米 / 无 / 无窗,
中海日辉台 3室1厅 东南,"中海日辉台 , 坂田",3室1厅,121.59平米,东南,,中楼层(共11层),2005年,塔楼,550 万,45234 元,2,,,近地铁 | VR看装修 | 随时看房,https://sz.lianjia.com/ershoufang/105121547918.html,地铁 | VR看装修 | 随时看房,,,,,,,暂无数据,2025-07-24,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2025-07-24 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 35.78平米 / 西北 东南 / 落地窗 ; 卧室A / 17.4平米 / 北 / 落地窗 ; 卧室B / 9.66平米 / 东南 / 落地窗 ; 卧室C / 9.98平米 / 东南 / 落地窗 ; 厨房 / 8.59平米 / 西北 东北 东南 / 落地窗 ; 卫A / 5.91平米 / 无 / 未知窗户类型 ; 卫B / 3.42平米 / 东北 / 普通窗 ; 阳台A / 4.69平米 / 西北 东北 / 普通窗 ; 阳台B / 3.47平米 / 东北 东南 / 普通窗 ; 阳台C / 4.77平米 / 东南 / 普通窗,
佳兆业城广地铁口100米中间楼层朝南车位充足,"佳兆业城市广场五期 , 坂田",4室2厅,89.78平米,南,精装,中楼层(共43层),2019年,板楼,438 万,48786 元,3,,,近地铁 | VR看装修 | 随时看房,https://sz.lianjia.com/ershoufang/105120241175.html,地铁 | VR看装修 | 随时看房,满五唯一税少，中间楼层朝南视野开阔，正地铁口雪象A车位充足,小区规模：总共分为6期开发的大楼盘。3个幼儿园：自带综合MALL，加270米万豪酒店（六期项目），二期的地理位置很好，小区东门门口200米就是地铁口雪象站,新社区，人车分流，车位充足，24小时保安轮流值班，社区有自己的健身广场和花园，园林式社区。依托高新技术产业园，佳兆业城市广场物业形态丰富，集住宅、酒店于一体。隔壁就是天安云谷、华为总部,项目是在坂雪岗大道和坂澜大道，沿着坂雪岗大道可以去梅林关（去关内方向）、也可以转布龙路转南坪快速和水官高速，也可以从转贝尔路再转梅关高速，上坂澜大道可以去观澜也可以去平湖。交通很方便。高速交通：梅观高速、清平高速、坂雪岗大道、南坪快速。,,,暂无数据,2025-03-30,商品房,普通住宅,暂无数据,非共有,有抵押 280万元,挂牌时间:2025-03-30 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 280万元 | 房本备件:未上传房本照片,客厅 / 19.84平米 / 西南 / 普通窗 ; 卧室01 / 9.6平米 / 无 / 未知窗户类型 ; 卧室02 / 11.5平米 / 无 / 未知窗户类型 ; 卧室03 / 9.95平米 / 西北 / 普通窗 ; 厨房 / 8.31平米 / 西北 / 普通窗 ; 卫01 / 3.29平米 / 西北 / 普通窗 ; 卫02 / 3.29平米 / 无 / 普通窗 ; 阳台01 / 4.66平米 / 西南 西北 / 普通窗 ; 阳台02 / 6.81平米 / 西北 / 普通窗 ; 储物间 / 6.03平米 / 无 / 无窗 ; 过道 / 4.92平米 / 无 / 无窗,
